Datetime,Price,Load
08/12/2025 09:00:00,89.47,60
08/12/2025 09:30:00,86.97,72
08/12/2025 10:00:00,82.74,224
08/12/2025 10:30:00,74.55,277
08/12/2025 11:00:00,70.63,231
08/12/2025 11:30:00,72.92,96
08/12/2025 12:00:00,72.39,141
08/12/2025 12:30:00,73.93,200
08/12/2025 13:00:00,76.39,164
08/12/2025 13:30:00,73.26,156
08/12/2025 14:00:00,76.36,243
08/12/2025 14:30:00,78.28,196
08/12/2025 15:00:00,79.32,167
08/12/2025 15:30:00,87.4,98
08/12/2025 16:00:00,84.9,35
08/12/2025 16:30:00,86.64,89
08/12/2025 17:00:00,90.73,50
08/12/2025 17:30:00,85.63,300
08/12/2025 18:00:00,83.86,700
08/12/2025 18:30:00,81.68,1100
08/12/2025 19:00:00,76.76,1500
08/12/2025 19:30:00,87.48,1500
08/12/2025 20:00:00,82.96,1500
08/12/2025 20:30:00,78.41,1500
08/12/2025 21:00:00,72.7,1278
08/12/2025 21:30:00,72.12,1091
08/12/2025 22:00:00,77.2,933
08/12/2025 22:30:00,70.63,799
08/12/2025 23:00:00,71.57,687
08/12/2025 23:30:00,63.29,592
09/12/2025 00:00:00,63.64,512
09/12/2025 00:30:00,61.26,444
09/12/2025 01:00:00,59.75,387
09/12/2025 01:30:00,52.51,350
09/12/2025 02:00:00,53.92,310
09/12/2025 02:30:00,51.22,299
09/12/2025 03:00:00,54.61,285
09/12/2025 03:30:00,49.67,239
09/12/2025 04:00:00,53.32,211
09/12/2025 04:30:00,46.8,174
09/12/2025 05:00:00,40.32,155
09/12/2025 05:30:00,45.3,96
09/12/2025 06:00:00,51.74,135
09/12/2025 06:30:00,59.07,141
09/12/2025 07:00:00,75.18,113
09/12/2025 07:30:00,82.32,57
09/12/2025 08:00:00,85.12,22
09/12/2025 08:30:00,86.96,23
